,VM Name,vCPUs,Memory (GiB),Linux Price,Windows Price
,Standard_E8s_v5,8,64,0.5040,0.8720
,Standard_E8-2ads_v5,2,64,0.5240,0.8920
,Standard_E8-4ads_v5,4,64,0.5240,0.8920
,Standard_E8ads_v5,8,64,0.5240,0.8920
,Standard_NC4as_T4_v3,4,28,0.5260,0.7100
,Standard_D16pls_v5,16,32,0.5440,1.2800
,Standard_E8-2ds_v4,2,64,0.5760,0.9440
,Standard_E8-2ds_v5,2,64,0.5760,0.9440
,Standard_E8-4ds_v4,4,64,0.5760,0.9440
,Standard_E8-4ds_v5,4,64,0.5760,0.9440
,Standard_E8d_v4,8,64,0.5760,0.9440
,Standard_E8d_v5,8,64,0.5760,0.9440
,Standard_E8ds_v4,8,64,0.5760,0.9440
,Standard_E8ds_v5,8,64,0.5760,0.9440
,Standard_EC8ads_v5,8,64,0.5760,0.9440
,Standard_D4_v2,8,28,0.5850,1.0080
,Standard_DS4_v2,8,28,0.5850,1.0080
,Standard_E8bs_v5,8,64,0.5960,0.9640
,Standard_D16plds_v5,16,32,0.6140,1.3500
,Standard_D16ps_v5,16,64,0.6160,1.3520
,Standard_DS4,8,28,0.6160,1.1200
,Standard_L8as_v3,8,64,0.6240,0.9920
,Standard_L8s_v2,8,64,0.6240,0.9920
,Standard_B16ms,16,64,0.6660,0.7300
,Standard_E8bds_v5,8,64,0.6680,1.0360
,Standard_F16s_v2,16,32,0.6770,1.3020
,Standard_D16as_v5,16,64,0.6880,1.4240
,Standard_L8s_v3,8,64,0.6960,1.0640
,Standard_D16pds_v5,16,64,0.7230,1.4590
,Standard_D13_v2,8,56,0.7410,1.0560
,Standard_DS13_v2,8,56,0.7410,1.0560
,Standard_DS13-2_v2,2,56,0.7410,1.0560
,Standard_DS13-4_v2,4,56,0.7410,1.0560
,Standard_NC8as_T4_v3,8,56,0.7520,1.1200
,Standard_DC16as_v5,16,64,0.7570,1.4930
,Standard_D16_v3,16,64,0.7680,1.5040
,Standard_D16_v4,16,64,0.7680,1.5040
,Standard_D16_v5,16,64,0.7680,1.5040
,Standard_D16a_v4,16,64,0.7680,1.5040
,Standard_D16as_v4,16,64,0.7680,1.5040
,Standard_D16s_v3,16,64,0.7680,1.5040
,Standard_D16s_v4,16,64,0.7680,1.5040
,Standard_D16s_v5,16,64,0.7680,1.5040
,Standard_DC8_v2,8,32,0.7680,1.1360
,Standard_DC8s_v3,8,64,0.7680,1.1360
,Standard_D13,8,56,0.7710,1.0560
,Standard_DS13,8,56,0.7710,1.0560
,Standard_F16,16,32,0.7960,1.5320
,Standard_F16s,16,32,0.7960,1.5320
,Standard_E16ps_v5,16,128,0.8060,1.5420
,Standard_D16ads_v5,16,64,0.8240,1.5600
,Standard_PB6s,6,112,0.8300,1.1060
,Standard_B20ms,20,80,0.8320,0.9120
,Standard_NC6,6,56,0.9000,1.0840
,Standard_D16d_v4,16,64,0.9040,1.6400
,Standard_D16d_v5,16,64,0.9040,1.6400
,Standard_D16ds_v4,16,64,0.9040,1.6400
,Standard_D16ds_v5,16,64,0.9040,1.6400
,Standard_DC8ds_v3,8,64,0.9040,1.2720
,Standard_E16-4as_v5,4,128,0.9040,1.6400
,Standard_E16-8as_v5,8,128,0.9040,1.6400
,Standard_E16as_v5,16,128,0.9040,1.6400
,Standard_H8,8,56,0.9040,1.7540
,Standard_DC16ads_v5,16,64,0.9060,1.6420
,Standard_NV12ads_A10_v5,12,110,0.9080,1.4600
,Standard_NV16as_v4,16,56,0.9320,1.6680
,Standard_EC16as_v5,16,128,0.9940,1.7300
,Standard_A7,8,56,1.0000,1.3200
,Standard_E16_v3,16,128,1.0080,1.7440
,Standard_E16_v4,16,128,1.0080,1.7440
,Standard_E16_v5,16,128,1.0080,1.7440
,Standard_E16-4as_v4,4,128,1.0080,1.7440
,Standard_E16-4s_v3,4,128,1.0080,1.7440
,Standard_E16-4s_v4,4,128,1.0080,1.7440
,Standard_E16-4s_v5,4,128,1.0080,1.7440
,Standard_E16-8as_v4,8,128,1.0080,1.7440
,Standard_E16-8s_v3,8,128,1.0080,1.7440
,Standard_E16-8s_v4,8,128,1.0080,1.7440
,Standard_E16-8s_v5,8,128,1.0080,1.7440
,Standard_E16a_v4,16,128,1.0080,1.7440
,Standard_E16as_v4,16,128,1.0080,1.7440
,Standard_E16s_v3,16,128,1.0080,1.7440
,Standard_E16s_v5,16,128,1.0080,1.7440
,Standard_E20ps_v5,20,160,1.0080,1.9280
,Standard_E16-4ads_v5,4,128,1.0480,1.7840
,Standard_E16-8ads_v5,8,128,1.0480,1.7840
,Standard_E16ads_v5,16,128,1.0480,1.7840
,Standard_D32pls_v5,32,64,1.0880,2.5600
,Standard_FX12mds,12,252,1.1160,1.6680
,Standard_E20as_v5,20,160,1.1300,2.0500
,Standard_NV12s_v3,12,112,1.1400,1.6920
,Standard_NV6,6,56,1.1400,1.4400
,Standard_E16-4ds_v4,4,128,1.1520,1.8880
,Standard_E16-4ds_v5,4,128,1.1520,1.8880
,Standard_E16-8ds_v4,8,128,1.1520,1.8880
,Standard_E16-8ds_v5,8,128,1.1520,1.8880
,Standard_E16d_v4,16,128,1.1520,1.8880
,Standard_E16d_v5,16,128,1.1520,1.8880
,Standard_E16ds_v4,16,128,1.1520,1.8880
